Mapping,Count
Pred Home Win → Actual Draw,30
Pred Home Win → Actual Away Win,22
Pred Draw → Actual Home Win,32
Pred Draw → Actual Away Win,26
Pred Away Win → Actual Home Win,29
Pred Away Win → Actual Draw,29
