Mapping,Count
Pred Home Win → Actual Draw,33
Pred Home Win → Actual Away Win,23
Pred Draw → Actual Home Win,27
Pred Draw → Actual Away Win,22
Pred Away Win → Actual Home Win,31
Pred Away Win → Actual Draw,32
