Mapping,Count
Pred Home Win → Actual Draw,40
Pred Home Win → Actual Away Win,40
Pred Draw → Actual Home Win,7
Pred Draw → Actual Away Win,11
Pred Away Win → Actual Home Win,35
Pred Away Win → Actual Draw,31
