Mapping,Count
Pred Home Win → Actual Draw,56
Pred Home Win → Actual Away Win,75
Pred Draw → Actual Home Win,9
Pred Draw → Actual Away Win,4
Pred Away Win → Actual Home Win,36
Pred Away Win → Actual Draw,20
