Mapping,Count
Pred Home Win → Actual Draw,41
Pred Home Win → Actual Away Win,43
Pred Draw → Actual Home Win,9
Pred Draw → Actual Away Win,6
Pred Away Win → Actual Home Win,33
Pred Away Win → Actual Draw,35
