Mapping,Count
Pred Home Win → Actual Draw,26
Pred Home Win → Actual Away Win,18
Pred Draw → Actual Home Win,48
Pred Draw → Actual Away Win,31
Pred Away Win → Actual Home Win,32
Pred Away Win → Actual Draw,32
