Model,Date,HomeTeam,AwayTeam,BetPlaced,ActualResult,EloTierHome,EloTierAway,BetOn,BetOnEncoded,p,q,b,Odds,KellyFraction,HalfKellyFraction,KellyStake,HalfKellyStake,KellyProfitLoss,HalfKellyProfitLoss,IntelligentMultiplier,IntelligentKellyFraction,IntelligentHalfKellyFraction,IntelligentKellyStake,IntelligentHalfKellyStake,IntelligentKellyProfitLoss,IntelligentHalfKellyProfitLoss,KellyBalanceBefore,KellyBalanceAfter,HalfKellyBalanceBefore,HalfKellyBalanceAfter,IntelligentKellyBalanceBefore,IntelligentKellyBalanceAfter,IntelligentHalfKellyBalanceBefore,IntelligentHalfKellyBalanceAfter,KellyDropFromPeak,HalfKellyDropFromPeak,IntelligentKellyDropFromPeak,IntelligentHalfKellyDropFromPeak
logistic_regression,11/08/2023,Burnley,Man City,False,-1,4,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
logistic_regression,12/08/2023,Arsenal,Nott'm Forest,True,1,2,4,Draw,0,0.2566475062608844,0.7433524937391156,6.0,7.0,0.1327554239710318,0.0663777119855159,13.27554239710318,6.63777119855159,-13.27554239710318,-6.63777119855159,0.19626168224299065,0.026054802835436146,0.013027401417718073,2.6054802835436144,1.3027401417718072,-2.6054802835436144,-1.3027401417718072,100.0,86.72445760289682,100.0,93.36222880144841,100.0,97.39451971645639,100.0,98.6972598582282,0.1327554239710318,0.0663777119855159,0.026054802835436135,0.013027401417718068
logistic_regression,12/08/2023,Bournemouth,West Ham,True,0,4,3,Draw,0,0.3819667722189467,0.6180332277810533,2.4,3.4,0.12445292731017449,0.062226463655087244,10.793112618067628,5.809601337271269,25.903470283362307,13.943043209451046,0.22285714285714286,0.027735223800553172,0.013867611900276586,2.7012588012833065,1.3686952953346558,6.4830211230799355,3.284868708803174,86.72445760289682,112.62792788625913,93.36222880144841,107.30527201089946,97.39451971645639,103.87754083953632,98.6972598582282,101.98212856703137,0.0,0.0,0.0,0.0
logistic_regression,12/08/2023,Brighton,Luton,True,1,4,4,Draw,0,0.419683752880838,0.5803162471191621,4.5,5.5,0.29072458685435754,0.14536229342717877,32.74370780299506,15.598140436331601,-32.74370780299506,-15.598140436331601,0.2605042016806723,0.07573497640743768,0.03786748820371884,7.867163104744927,3.861807050502198,-7.867163104744927,-3.861807050502198,112.62792788625913,79.88422008326407,107.30527201089946,91.70713157456785,103.87754083953632,96.01037773479139,101.98212856703137,98.12032151652917,0.29072458685435754,0.1453622934271788,0.07573497640743773,0.03786748820371879
logistic_regression,12/08/2023,Everton,Fulham,True,-1,3,4,Draw,0,0.4822642955057601,0.5177357044942399,2.4,3.4,0.2665410852998268,0.1332705426499134,21.292426719323423,12.221859189809663,-21.292426719323423,-12.221859189809663,0.27710843373493976,0.07386078267344598,0.03693039133672299,7.0914016442648835,3.6236218716905033,-7.0914016442648835,-3.6236218716905033,79.88422008326407,58.591793363940646,91.70713157456785,79.48527238475819,96.01037773479139,88.91897609052651,98.12032151652917,94.49669964483867,0.4797756252506801,0.25926032435121615,0.14400191444767532,0.0733994183821397
logistic_regression,12/08/2023,Newcastle,Aston Villa,True,1,3,4,Draw,0,0.4381928120505875,0.5618071879494124,2.75,3.75,0.23389928915989208,0.11694964457994604,13.704578818428999,9.29577435473767,-13.704578818428999,-9.29577435473767,0.2754491017964072,0.0644273491099104,0.0322136745549552,5.728813915080127,3.0440859288761835,-5.728813915080127,-3.0440859288761835,58.591793363940646,44.88721454551165,79.48527238475819,70.18949803002052,88.91897609052651,83.19016217544639,94.49669964483867,91.45261371596249,0.6014557367081953,0.345889566144606,0.19915160194296988,0.10324862796080968
logistic_regression,12/08/2023,Sheffield United,Crystal Palace,True,-1,4,3,Away,-1,0.4661973662898855,0.5338026337101145,1.38,2.38,0.07938386360139671,0.039691931800698355,3.563320516927527,2.785956768932826,4.917382313359987,3.8446203411272997,0.4375,0.03473044032561106,0.01736522016280553,2.8892309631122473,1.5880947716416973,3.9871387290949007,2.1915707848655424,44.88721454551165,49.80459685887163,70.18949803002052,74.03411837114781,83.19016217544639,87.17730090454128,91.45261371596249,93.64418450082803,0.5577953195661348,0.3100607548562213,0.16076853379492828,0.08175887465148293
logistic_regression,13/08/2023,Brentford,Tottenham,True,0,4,2,Away,-1,0.4698446639669921,0.5301553360330079,1.4500000000000002,2.45,0.10422029428905566,0.05211014714452783,5.190649741579379,3.8579288020359037,-5.190649741579379,-3.8579288020359037,0.4897959183673469,0.05104667475382318,0.02552333737691159,4.450111325190294,2.390112114400389,-4.450111325190294,-2.390112114400389,49.80459685887163,44.613947117292255,74.03411837114781,70.17618956911191,87.17730090454128,82.72718957935099,93.64418450082803,91.25407238642764,0.60388202149695,0.3460135904414481,0.20360850949347273,0.10519545268710816
logistic_regression,13/08/2023,Chelsea,Liverpool,True,0,2,1,Away,-1,0.5251785531306586,0.47482144686934136,1.38,2.38,0.1811050409064982,0.0905525204532491,8.079810717677562,6.354630841288093,-8.079810717677562,-6.354630841288093,0.5681818181818182,0.10290059142414672,0.05145029571207336,8.512676734572723,4.695049009212649,-8.512676734572723,-4.695049009212649,44.613947117292255,36.534136399614695,70.17618956911191,63.82155872782382,82.72718957935099,74.21451284477827,91.25407238642764,86.55902337721498,0.6756209841975442,0.4052337081691458,0.2855576648717521,0.15123341125086442
logistic_regression,14/08/2023,Man United,Wolves,True,1,2,3,Draw,0,0.1955673374369445,0.8044326625630556,4.5,5.5,0.016804523534043242,0.008402261767021621,0.613938754923271,0.5362454428105191,-0.613938754923271,-0.5362454428105191,0.20909090909090908,0.0035136731025726775,0.0017568365512863387,0.2607655376032319,0.15207005611273994,-0.2607655376032319,-0.15207005611273994,36.534136399614695,35.92019764469143,63.82155872782382,63.2853132850133,74.21451284477827,73.95374730717504,86.55902337721498,86.40695332110225,0.6810720190025464,0.4102310902433094,0.28806798168803144,0.15272455541748947
logistic_regression,18/08/2023,Nott'm Forest,Sheffield United,True,1,4,4,Draw,0,0.4258447532335768,0.5741552467664233,2.4,3.4,0.18661340041423374,0.09330670020711687,6.703190226027217,5.904943754198206,-6.703190226027217,-5.904943754198206,0.25833333333333336,0.048208461773677054,0.024104230886838527,3.56519640007812,2.0827731530801277,-3.56519640007812,-2.0827731530801277,35.92019764469143,29.21700741866421,63.2853132850133,57.380369530815095,73.95374730717504,70.38855090709691,86.40695332110225,84.32418016802212,0.7405882540237273,0.4652604810974551,0.3223891291782807,0.17314747835845504
logistic_regression,19/08/2023,Fulham,Brentford,True,-1,4,4,Draw,0,0.5492545316822761,0.4507454683177239,2.3,3.3,0.3532782411093527,0.17663912055467634,10.3217329913446,10.135618011025525,-10.3217329913446,-10.135618011025525,0.256198347107438,0.09050930144123912,0.04525465072061956,6.370818572062439,3.816061320806436,-6.370818572062439,-3.816061320806436,29.21700741866421,18.89527442731961,57.380369530815095,47.244751519789574,70.38855090709691,64.01773233503448,84.32418016802212,80.50811884721568,0.8322327793653311,0.5597163994422313,0.38371921574534423,0.21056640042280672
logistic_regression,19/08/2023,Liverpool,Bournemouth,True,1,1,4,Away,-1,0.108637774474493,0.891362225525507,12.0,13.0,0.03435758901403409,0.017178794507017044,0.6491960730812355,0.8116078778935463,-0.6491960730812355,-0.8116078778935463,0.06779661016949153,0.0023293280687480735,0.0011646640343740368,0.14911830082559696,0.09376491049646264,-0.14911830082559696,-0.09376491049646264,18.89527442731961,18.246078354238374,47.244751519789574,46.43314364189603,64.01773233503448,63.86861403420888,80.50811884721568,80.41435393671922,0.8379968565819238,0.5672799409410227,0.3851547358743387,0.2114858253437607
logistic_regression,19/08/2023,Man City,Newcastle,True,1,1,3,Draw,0,0.2888539841027002,0.7111460158972998,3.0,4.0,0.051805312136933596,0.025902656068466798,0.9452437844162667,1.2027417499337487,-0.9452437844162667,-1.2027417499337487,0.14814814814814814,0.007674861057323496,0.003837430528661748,0.4901827386363746,0.3085844967393773,-0.4901827386363746,-0.3085844967393773,18.246078354238374,17.300834569822108,46.43314364189603,45.23040189196228,63.86861403420888,63.378431295572504,80.41435393671922,80.10576943997985,0.8463894799938616,0.5784885398047541,0.38987358784825654,0.214511693709869
logistic_regression,19/08/2023,Tottenham,Man United,True,1,2,2,Draw,0,0.3895363205768252,0.6104636794231748,2.6,3.6,0.15474259772175797,0.07737129886087898,2.677176084088666,3.49953494238068,-2.677176084088666,-3.49953494238068,0.18867924528301888,0.02919671655127509,0.014598358275637545,1.850442094001293,1.169412722230443,-1.850442094001293,-1.169412722230443,17.300834569822108,14.623658485733442,45.23040189196228,41.7308669495816,63.378431295572504,61.52798920157121,80.10576943997985,78.9363567177494,0.8701595708970016,0.611101428964806,0.4076872757642974,0.2259785334264161
logistic_regression,19/08/2023,Wolves,Brighton,True,-1,3,4,Draw,0,0.430241690492173,0.569758309507827,2.8,3.8,0.22675657995366333,0.11337828997683166,3.3160107846352824,4.731374333994244,-3.3160107846352824,-4.731374333994244,0.27380952380952384,0.06208811117778877,0.031044055588894386,3.8201566340929403,2.4505046459306095,-3.8201566340929403,-2.4505046459306095,14.623658485733442,11.307647701098158,41.7308669495816,36.99949261558736,61.52798920157121,57.70783256747827,78.9363567177494,76.4858520718188,0.8996017425401136,0.6551940839232097,0.44446285403866265,0.25000729886172396
logistic_regression,20/08/2023,Aston Villa,Everton,True,1,4,3,Away,-1,0.2818841823781572,0.7181158176218427,3.5,4.5,0.07670823448620215,0.038354117243101074,0.8673896913432022,1.4190828777134898,-0.8673896913432022,-1.4190828777134898,0.4406779661016949,0.033803628756631454,0.016901814378315727,1.9507341484608816,1.2927496742851967,-1.9507341484608816,-1.2927496742851967,11.307647701098158,10.440258009754956,36.99949261558736,35.580409737873865,57.70783256747827,55.75709841901739,76.4858520718188,75.19310239753361,0.9073031156153527,0.6684188104545338,0.4632420254812583,0.2626835362814547
logistic_regression,20/08/2023,West Ham,Chelsea,True,1,3,2,Away,-1,0.5130156750478034,0.48698432495219657,1.0,2.0,0.026031350095606864,0.013015675047803432,0.271774011340395,0.46310305121586715,-0.271774011340395,-0.46310305121586715,0.45132743362831856,0.01174866243253053,0.005874331216265265,0.655071327542417,0.44170918866166226,-0.655071327542417,-0.44170918866166226,10.440258009754956,10.168483998414562,35.580409737873865,35.117306686658,55.75709841901739,55.10202709147497,75.19310239753361,74.75139320887195,0.9097161406655415,0.6727345634696217,0.4695482137318478,0.26701477740054286
logistic_regression,21/08/2023,Crystal Palace,Arsenal,True,-1,3,2,Draw,0,0.2733912702792787,0.7266087297207213,3.0,4.0,0.031188360372371576,0.015594180186185788,0.3171383433832472,0.5476256081252918,-0.3171383433832472,-0.5476256081252918,0.2631578947368421,0.008207463255887256,0.004103731627943628,0.45224786267818495,0.3067596565440983,-0.45224786267818495,-0.3067596565440983,10.168483998414562,9.851345655031315,35.117306686658,34.5696810785327,55.10202709147497,54.64977922879679,74.75139320887195,74.44463355232784,0.9125319462062731,0.6778379996555872,0.47390187727666344,0.2700227520413396
logistic_regression,25/08/2023,Chelsea,Luton,True,1,2,4,Draw,0,0.5183200717618782,0.4816799282381218,4.5,5.5,0.4112800877089623,0.20564004385448115,4.0516623050525835,7.108910733024892,-4.0516623050525835,-7.108910733024892,0.19444444444444445,0.07997112816563155,0.039985564082815776,4.370404498929577,2.9767106655283424,-4.370404498929577,-2.9767106655283424,9.851345655031315,5.799683349978731,34.5696810785327,27.46077034550781,54.64977922879679,50.279374729867214,74.44463355232784,71.4679228867995,0.9485058150422893,0.7440874075346596,0.5159745376766695,0.2992113040685881
logistic_regression,26/08/2023,Arsenal,Fulham,True,0,2,4,Draw,0,0.2996821608565908,0.7003178391434093,6.0,7.0,0.1829625209993559,0.09148126049967795,1.0611246867100983,2.512145885499231,6.36674812026059,15.072875312995386,0.1926605504587156,0.03524966000905022,0.01762483000452511,1.7723308646954505,1.2596099916563506,10.633985188172703,7.557659949938103,5.799683349978731,12.16643147023932,27.46077034550781,42.5336456585032,50.279374729867214,60.913359918039916,71.4679228867995,79.0255828367376,0.8919767796622702,0.6036201683158412,0.413604139780945,0.22510361425928432
