RowNumber,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
1,9.077192267677308,-2.1116556472673667,-5.725169712321159,4.320004543386845,-4.9601989467724374,-4.390783967495451,-0.9019071488487543,-0.4430368774366428,0.9551199067449848,-1.6458059706814079,0.9794533383854184,0.047092225176462534,1.2152189487407696,-1.4735313657804907,-0.2419485858552786,-1.0404956746896061,0.017029756002598616,0.4754132259965225,0.26615335498216125,-0.7577688574095774,0.2456889121376975,-0.80881561455948,-0.39240771591936446,0.03658140751261441,-0.7144634933954398,-0.11992213420620262,0.25382105250402226,0.4605409730374133,-0.7752461903525569,-0.4593224471525681,0.26505998016572413,0.5767128611779498,0.5066343381622791,0.3802928587589023,0.41885055127528276,0.5287146927351647,-0.0712757212058757,0.11993393328136752,-0.08495682511763765,0.349901931733105,-0.0579613224256232,-0.12597686655505816,-0.14906945392207394,-0.01869464690771558,-0.03509929267543412,0.06437080590066477,0.025662190693837156,-0.029972496244802287,0.0002337403816717905,3.215628877806145e-14,-1.5506881358712602e-14,-5.891851769172886e-15,-1.0834523794941579e-14,1.3010571016903693e-14,-1.6796139742448052e-14,-2.5489133783536666e-15,-4.7545507890450915e-14,-2.2610909629182153e-14,5.033531046119386e-14,-3.367898854631279e-16
2,-6.565431367738354,-0.0007834659891867563,-6.394520983321656,4.53752950485457,0.8523860348873601,-5.009030911538613,0.9292877442084817,-0.5716085491626274,1.476118248144955,0.007805310491404109,1.165988591736391,0.8436766365822527,0.12342009990531853,3.475541863824392,-0.32862522160417573,-0.0574106941282343,0.644270244382517,-1.8514715505849493,-0.17938129301172218,-1.1863164240200064,-0.2614874902218629,0.0390912444128845,-0.15222312425091947,0.232706369338833,0.4179907110125072,0.5190201139171944,0.1457535546982448,0.8378880573527091,0.19270288692865595,-0.04140139343949472,0.568967194307161,-0.283043246570421,0.5051604540225072,-0.648890336344951,-0.03271950913090659,0.022051738660328977,0.09003280920607895,0.08946607859456937,-0.014220239543407799,0.1085036970814694,-0.23358634094328398,0.1152879186552331,0.11472579250516915,0.2866635969385062,-0.023241826954616854,-0.019926560600659057,0.01975331408358008,0.0049972241237774976,0.00557966911713597,-1.4394784887264611e-15,2.127540705089092e-15,-2.7893649296487853e-15,8.184320337617871e-16,-7.710974681818347e-15,1.9491047627058986e-15,2.437194724500838e-15,-1.593464258315311e-15,1.0714711033088005e-14,-1.143930990678275e-14,-1.2977511826566043e-14
3,1.6118557352873464,-6.623664721871579,-3.6954019628667494,-0.2480988295785602,-1.3639666694373025,-2.8094384955286484,-1.3044269400860062,-1.7997867964121779,1.2316176846311697,0.006561789342706768,1.4889779749964798,-0.19525987460204175,0.756694051726729,0.6792350559911494,0.003169777859214147,-0.25937180464663584,0.2659018974115822,-0.7126759390632411,0.13102371877921104,-0.6215965680196386,0.3409042696780911,-0.3724641780854904,-1.251156731594867,0.357735964715914,-0.3087791012627633,0.19729104557074237,0.23316605612254554,-0.27096780062445264,0.04529866859111563,0.31058308686915603,0.2441746468455982,0.3488417023689126,0.07389014490551941,0.2976995333699931,0.3663728004981255,-0.05890479975514992,-0.06308535071415922,0.24567050000077414,-0.06958930587747442,-0.024837413107969386,0.06819702736919458,-0.11097161572371309,0.10522919384838833,-0.08261056108542539,-0.02958546810879785,0.04801701657101591,-0.00795643964903802,0.04942915393854884,-0.003325277288936289,-5.2724231347519826e-14,2.661960247842076e-14,1.611830008190726e-14,9.939119279111688e-15,-1.283287333903486e-14,1.7154895993828366e-14,1.0422532572594426e-14,8.349606714851014e-14,2.3044216904858998e-14,-6.757350763520951e-14,-2.0317627553759473e-14
4,-0.36780238256684833,-6.173653941398182,-3.910487992022718,-0.43619819277532207,0.02128322424956905,-3.0613493294009153,-0.7458700951538298,-1.7085792320267759,1.2362326139802706,-0.514731346483636,1.3310539789534725,-0.26467162961267415,0.9962253714529576,0.5249305331417172,0.3442603494297345,-0.12255043890033541,-0.11198833530980982,-0.6512883500369423,0.16646025676762372,-0.7100166487140052,0.3816691527666135,-0.11883194786340355,-1.054060396276775,0.14132590341730092,-0.39443891479637666,0.06831629057404275,0.43421973746842596,-0.08084089338371103,0.16067178751396768,-0.33659531712649626,0.33789317632352284,-0.4256879575444205,0.17544880388541015,0.1546043408636785,0.262401661200491,0.25379758724093515,-0.17945722636343386,0.37794382454641884,0.12836708772660996,-0.1901631300665133,0.012861123014974359,-0.04256873714178811,0.03137322444043019,0.014847217203541357,-0.0368950532284148,0.020953906018995362,0.007148036219622772,0.017425835923372802,-9.718395016239929e-06,-2.0779302962741898e-14,5.725669366603212e-15,9.213655771215236e-15,1.9382665675352527e-15,-1.6389134452144773e-15,2.3088958911507986e-15,6.473849041191059e-16,2.452152976551998e-14,8.706582535756127e-15,-2.290855088894942e-14,-5.005180593548986e-15
5,-2.050954853135112,-4.414861083137943,-4.669509299448836,0.052724767330589846,0.5241280816714085,-3.815527027082964,-0.08021823332808282,-1.030582956390124,1.041777269912165,-0.3345010247243139,1.9658317308373163,1.1062723448593654,-0.3391502494484292,-0.5351336935794079,-0.4583765219182209,-0.12042927042904675,0.16471257596124073,-1.036559901732959,0.5133988423110892,-1.0776327458165615,0.1319284919525512,-0.1923967331059277,-0.8037146101290916,0.2802765452377849,0.00464545222776747,0.19747686356123653,-0.165280386462994,-0.286577319249433,-0.583018640602319,0.08503842808096705,0.7120123837853664,-0.09304022026820202,-0.12700184335034334,0.010435966535068252,-0.18774506253646325,0.06106979283560608,-0.028636554955290872,0.13238267899599543,-0.19665458142750097,0.11733664613790103,-0.16203504356708542,-0.09674775140892272,0.10295751931927301,0.0056147937380281055,-0.053878115242765014,0.02103599889185439,-0.004495166090314818,0.03637076009695491,-0.0019487647801511919,-3.5516209177781926e-14,2.390810561450511e-14,8.10437940831455e-15,9.345395750464577e-15,-6.822227905157697e-15,1.4681444051276027e-14,7.156309273843023e-15,5.721369142566931e-14,1.9154270844824244e-14,-5.0461071281437364e-14,-1.7776494823115118e-14
6,0.8397248291959509,-5.9291478305711,-4.040777323694662,-0.27182385296175593,-0.46553546103191945,-3.1852316194362817,-0.6730655828932528,-1.4834482837458496,1.32986148704519,-0.7767396153341208,1.346917611553927,-0.1799101689467174,1.103906938027291,0.16205362653920244,0.2617923347932761,-0.1747912921895663,0.012435983406707603,-0.42500670462628587,0.19583195392952063,-0.4874876728562719,0.36564404019178093,-0.07378397967001701,-0.963778883245059,0.10614866758215571,-0.7045820857029579,-0.02053428968314534,0.4513723789036416,-0.3861313555849748,0.5891698379354418,0.3647320214975049,0.13934745944008936,-0.14099486948891876,0.045666775756221474,-0.10700360778176835,0.3360013861372667,-0.1993074537231056,-0.040726248694524,0.24550390394592983,0.015255820425793364,-0.05597770779457493,-0.11871148481159158,-0.07060959694442179,-0.007500289751847201,-0.006779498367633809,-0.0297227416822355,0.028785623450878626,-0.0045520354475266775,0.06245624919911248,-0.005450113744424535,-6.606025354883532e-14,3.613556598711623e-14,1.7052137265523154e-14,1.2161130880810195e-14,-1.2129595063316221e-14,2.1897705334938555e-14,1.0722058255741454e-14,1.0338688554558716e-13,3.364258868670515e-14,-8.820318125254924e-14,-2.4723291209522865e-14
7,5.701473501574844,-3.6273767133670587,-5.094215238595005,0.9115124157927867,-3.130714444380623,-4.1021437599885395,-0.5981470112683455,-0.4604471096385944,1.5079301461637464,-1.2659375768753613,1.4831681658101292,0.21302607823173234,0.8078915252499713,0.0515055996123892,-0.19204212440308943,-0.30181329987166516,0.09427565845859014,-0.2675040460237555,0.3271532900305578,-0.7565717467429608,0.20621704033464092,-0.3761615687208958,-0.6880501619773906,-0.19987804291175015,-0.5969801746477004,0.029685188243990836,0.38721157729176486,-0.10805446423482111,-0.14241776375192206,-0.34688662494824085,0.27108454994833364,0.6269207536942645,-0.01581771526879258,-0.09237030759461377,-0.09089505650841254,-0.4844803441566247,0.02721815810328736,0.0454733723583,-0.18471552107265177,-0.2343757115149998,-0.0038518473616366822,-0.04323376156567879,0.013458611644039485,-0.03827825400100346,0.0005608369947849319,0.05971749389353146,0.009602565964696122,0.011904018070819951,-0.001976380158031328,-1.4201324490326153e-14,7.497931032488446e-15,2.0758288112763938e-15,5.508191422568884e-15,-7.601493229390916e-16,1.0345226246269287e-14,-6.682961434568082e-16,3.4652052334714136e-14,4.702269474047634e-15,-1.551151888312429e-14,6.631684243945737e-15
8,-0.25377378864089317,-4.947107561183677,-4.475300465513972,-0.5897273859113555,0.3935737519477966,-3.6354386703506445,-0.19464180240019613,-1.2285973315642646,1.1973332375336232,-1.239737910190476,1.2794287058620362,-0.2334538471722254,1.1272765216551024,0.27597655318473624,0.4030818167913324,-0.09613779651332528,-0.3138956397846558,-0.4670331297997713,0.23217761662382566,-0.7487972665634988,0.4232118309716846,-0.07982068158761237,-0.9850338365435076,0.17971319731960397,-0.2451568667188538,0.23720222432698357,0.0180737585119392,0.0635914323130138,-0.5470747718051213,-0.5444756256241688,0.5538699685060025,-0.3642232103297263,-0.08170177995363784,-0.015049245109494323,0.1845421485229103,-0.012415436083198625,0.05780573411657318,-0.08790126185556248,0.025191977433555092,-0.02827365440470767,-0.1369470581172414,-0.07145413845758843,-0.009441109927438646,0.028327905203863628,-0.031941187718866226,0.030059418546111973,0.010884105284467982,0.02959709180789173,-0.001190024616142502,-2.8691390477481196e-14,2.0510122511930643e-14,7.362126264106323e-15,6.385368228523474e-15,-4.007672826940348e-15,1.211172514370713e-14,3.753129486348591e-15,4.505938712186539e-14,1.5715947488404772e-14,-4.136743796568881e-14,-1.1855085323592961e-14
9,-4.208883894093851,-2.947306773904283,-5.251396644765742,1.405972099640919,1.4361337095261004,-4.228874999828131,0.49273048454955554,-0.8964059978936878,0.9260534402736355,-0.7472795134029607,1.5535550472250437,0.8719494150506518,0.05346054265494342,-0.03606318327076021,-0.2608704355968358,-0.22644464495357583,0.13501378394985497,-1.0147485666835458,0.20082726344243357,-0.8197356418180975,0.007500507622576714,-0.09174072841178026,-0.704097693086202,0.27703751058601433,-0.05965971219585106,-0.1473313962259702,0.2261656429909324,0.7532111159704691,0.16676356928436292,-0.245823750148407,0.6448431141071043,0.7082964356306067,0.6016594478425513,0.10584971674003751,-0.03785429847090531,0.13351305846104855,0.07867912944716185,-0.1634545041492086,0.36187605963353925,-0.2703988698346263,0.041983879726432825,-0.11233495648067574,0.00040119884429668065,-0.1321110138691739,0.026978264864414264,0.0013720490538135868,0.008796640434135375,0.05203520180218235,-0.0036763803524025598,-5.0350867594382745e-14,3.584003459555154e-14,1.7199389052670837e-14,3.902378972061659e-15,-1.1413784255278566e-14,2.4023032943061088e-14,9.46879830829248e-15,8.074844017096129e-14,2.487087107082006e-14,-7.514841310061381e-14,-1.2945068669221592e-14
10,-0.037925500483310594,-2.7925815869163393,-5.460188117588727,-0.9914656696175876,0.3287954808547414,-4.634620587441332,0.6156756671537403,-0.2379727716204716,1.4860883945315349,-2.0522089520800546,1.4914608083456993,0.09263224848579847,1.0982754413764515,0.6882626776141582,0.2786065076513122,0.0794163661161526,-0.39210534720869195,-0.37766740536618953,0.04567279832971447,-0.35685961042872427,0.6761499437060543,-0.05759853932532153,-0.8826899138814165,0.36888611805418686,-0.09140649126881278,0.3519616537081641,-0.36082809125596343,0.6820383932619036,-0.8187406939530628,-0.07737910440433078,0.5601181020163952,-0.3069648475488179,-0.2275221891621438,-0.0731580881456117,-0.022224552129636282,0.1398477798648045,-0.012424050283093378,0.020349028973309254,0.1239397691990373,-0.0341776748241601,-0.20930385100068555,0.061520739843016765,-0.10042565029757516,0.21505156237002623,-0.03857598459787418,0.014482273488484495,0.0035063156197480566,0.043462821318852075,-0.003113745471007743,-4.292129652703306e-14,3.2355099125799907e-14,1.254796930427781e-14,4.481225648344426e-15,-3.660793094607637e-15,2.3290206809622776e-14,6.663437776279191e-15,7.366020845943729e-14,1.3236949992509378e-14,-5.879881059096759e-14,-1.3680829320999612e-14
