Component,Feature,AbsoluteLoading,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
PC4,DrawLikelihood,0.41917625108231965,,,,-0.41917625108231965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4,Bet365AwayWinOdds,0.24286765774556895,,,,0.24286765774556895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4,Bet365HomeWinOdds,0.23196973842211613,,,,0.23196973842211613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4,AwayGeneralForm,0.15813153552923617,,,,-0.15813153552923617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4,AwayForm,0.15348050637954644,,,,-0.15348050637954644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4,HistoricalEncountersHome,0.13599119342878319,,,,-0.13599119342878319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4,OddsFavourHome,0.1329454059167933,,,,-0.1329454059167933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4,LossStreakAway,0.13197062432460027,,,,0.13197062432460027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5,GeneralFormDifference,0.3492975689440763,,,,,0.3492975689440763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5,HomeAdvantageIndex,0.27326025528861064,,,,,0.27326025528861064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5,HomeGeneralForm,0.24486226622855684,,,,,0.24486226622855684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5,LossStreakHome,0.21953010036167542,,,,,-0.21953010036167542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5,WinStreakAway,0.2031882559176564,,,,,-0.2031882559176564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5,AwayGeneralForm,0.19914858554578718,,,,,-0.19914858554578718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5,FifaMidfieldDifference,0.19622481856772783,,,,,-0.19622481856772783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5,WinStreakHome,0.19557779066700637,,,,,0.19557779066700637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5,HomeForm,0.1868065511302489,,,,,0.1868065511302489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5,FifaOverallDifference,0.17616489361374904,,,,,-0.17616489361374904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6,AverageShotsOnTargetAtHome,0.3625032143344918,,,,,,0.3625032143344918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6,AverageShotsOnTargetAtAway,0.3573782132624165,,,,,,0.3573782132624165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6,AverageGoalsConcededAtHome,0.3464271516378646,,,,,,0.3464271516378646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6,AverageGoalsScoredAtAway,0.33464669816517856,,,,,,0.33464669816517856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6,AverageGoalsConcededAtAway,0.3220567943788996,,,,,,0.3220567943788996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6,AverageGoalsScoredAtHome,0.31553691618840923,,,,,,0.31553691618840923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6,HomeGeneralForm,0.19069251261522138,,,,,,0.19069251261522138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6,AwayGeneralForm,0.18319628737634824,,,,,,0.18319628737634824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6,TotalDrawsHome,0.14529957356692602,,,,,,-0.14529957356692602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6,TotalDrawsAway,0.1257314115589904,,,,,,-0.1257314115589904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC7,LossStreakHome,0.4378621013248004,,,,,,,0.4378621013248004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC7,WinStreakHome,0.39175770000732973,,,,,,,-0.39175770000732973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC7,ShotsOnTargetDifference,0.3106460615080729,,,,,,,0.3106460615080729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC7,HomeGeneralForm,0.26171673838976806,,,,,,,-0.26171673838976806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC7,AverageShotsOnTargetAtHome,0.23553393966903002,,,,,,,0.23553393966903002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC7,AwayForm,0.20767061657752994,,,,,,,-0.20767061657752994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC7,HistoricalEncountersHome,0.18903922515363275,,,,,,,0.18903922515363275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC7,GeneralFormDifference,0.18808535528937279,,,,,,,-0.18808535528937279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC7,AverageGoalsScoredAtAway,0.185970090449088,,,,,,,-0.185970090449088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC7,AverageGoalsConcededAtAway,0.17324870204581697,,,,,,,0.17324870204581697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
