Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
13/02/2022,2021,Swansea,Bristol City,3,1,H,0,1,A,K Stroud,16,10,6,3,5,17,6,5,2,5,0,0,20220213,English Second
14/02/2022,2021,West Brom,Blackburn,0,0,D,0,0,D,J Brooks,13,10,3,3,8,10,3,7,0,1,0,0,20220214,English Second
15/02/2022,2021,Cardiff,Coventry,2,0,H,0,0,D,J Busby,8,11,6,3,10,6,4,2,2,1,0,0,20220215,English Second
15/02/2022,2021,Millwall,QPR,2,0,H,0,0,D,J Linington,13,10,8,2,7,10,2,5,2,1,0,0,20220215,English Second
15/02/2022,2021,Sheffield United,Hull,0,0,D,0,0,D,O Langford,21,8,3,1,11,13,12,3,2,2,0,0,20220215,English Second
16/02/2022,2021,Peterboro,Reading,0,0,D,0,0,D,M Donohue,16,8,9,4,17,16,8,3,3,2,0,0,20220216,English Second
19/02/2022,2021,Fulham,Huddersfield,1,2,A,0,2,A,T Harrington,20,6,6,4,5,9,12,2,2,1,0,0,20220219,English Second
19/02/2022,2021,Bristol City,Middlesbrough,2,1,H,1,0,H,L Doughty,5,21,4,10,19,6,0,13,2,1,0,0,20220219,English Second
19/02/2022,2021,Cardiff,Blackpool,1,1,D,0,1,A,D Bond,11,6,2,2,15,11,3,2,3,1,0,0,20220219,English Second
19/02/2022,2021,Coventry,Barnsley,1,0,H,0,0,D,J Smith,19,6,7,0,11,14,3,3,0,2,0,0,20220219,English Second
19/02/2022,2021,Derby,Peterboro,1,0,H,0,0,D,J Linington,25,5,5,0,10,13,8,1,5,4,1,1,20220219,English Second
19/02/2022,2021,Luton,West Brom,2,0,H,0,0,D,G Ward,6,16,3,6,13,5,4,4,2,3,0,0,20220219,English Second
19/02/2022,2021,Preston,Reading,2,3,A,0,2,A,J Busby,18,13,2,9,11,5,5,6,1,0,0,0,20220219,English Second
19/02/2022,2021,QPR,Hull,1,1,D,0,1,A,T Robinson,13,6,4,2,8,4,5,2,2,1,0,0,20220219,English Second
19/02/2022,2021,Sheffield United,Swansea,4,0,H,3,0,H,D Webb,12,6,6,2,18,7,5,2,2,0,0,0,20220219,English Second
19/02/2022,2021,Stoke,Birmingham,2,2,D,1,1,D,A Davies,10,8,3,3,8,10,5,2,0,0,0,0,20220219,English Second
22/02/2022,2021,Bristol City,Coventry,1,2,A,0,1,A,D Whitestone,13,12,4,4,5,13,4,4,1,3,0,0,20220222,English Second
22/02/2022,2021,Hull,Barnsley,0,2,A,0,2,A,S Martin,6,8,3,5,4,18,6,4,1,0,0,0,20220222,English Second
22/02/2022,2021,Middlesbrough,West Brom,2,1,H,0,1,A,M Salisbury,8,8,3,2,16,8,2,3,2,3,0,0,20220222,English Second
22/02/2022,2021,Preston,Nott'm Forest,0,0,D,0,0,D,G Eltringham,15,7,4,2,10,8,11,3,3,2,0,0,20220222,English Second
22/02/2022,2021,Reading,Birmingham,2,1,H,0,0,D,S Hooper,9,16,3,7,7,14,0,6,0,3,0,0,20220222,English Second
23/02/2022,2021,Derby,Millwall,1,2,A,0,2,A,J Simpson,14,8,3,4,11,11,9,1,1,1,0,0,20220223,English Second
23/02/2022,2021,Fulham,Peterboro,2,1,H,1,0,H,J Gillett,25,6,11,2,5,6,10,4,0,1,0,0,20220223,English Second
23/02/2022,2021,Huddersfield,Cardiff,2,1,H,0,0,D,O Langford,14,10,4,7,5,9,12,2,2,7,0,0,20220223,English Second
23/02/2022,2021,QPR,Blackpool,2,1,H,1,0,H,G Ward,8,7,5,2,7,11,3,1,3,2,1,0,20220223,English Second
23/02/2022,2021,Sheffield United,Blackburn,1,0,H,0,0,D,M Donohue,13,11,6,4,15,9,7,5,3,2,1,0,20220223,English Second
23/02/2022,2021,Stoke,Luton,1,2,A,0,0,D,J Busby,5,12,2,4,8,11,6,6,1,6,0,0,20220223,English Second
26/02/2022,2021,Blackburn,QPR,1,0,H,0,0,D,J Simpson,11,7,7,2,15,12,9,1,3,2,0,0,20220226,English Second
26/02/2022,2021,Barnsley,Middlesbrough,3,2,H,2,0,H,J Linington,7,16,5,4,14,12,2,12,3,0,0,0,20220226,English Second
26/02/2022,2021,Birmingham,Huddersfield,0,2,A,0,2,A,D Webb,11,7,2,5,9,14,6,2,0,0,0,0,20220226,English Second
26/02/2022,2021,Blackpool,Reading,4,1,H,1,1,D,P Bankes,15,15,8,3,14,3,7,2,1,0,0,0,20220226,English Second
26/02/2022,2021,Bournemouth,Stoke,2,1,H,0,1,A,T Robinson,16,8,5,3,16,11,6,3,4,3,0,1,20220226,English Second
26/02/2022,2021,Cardiff,Fulham,0,1,A,0,1,A,L Doughty,9,11,4,3,12,10,8,9,2,2,0,0,20220226,English Second
26/02/2022,2021,Coventry,Preston,1,1,D,0,0,D,K Stroud,10,14,3,6,10,20,4,8,2,3,1,1,20220226,English Second
26/02/2022,2021,Luton,Derby,1,0,H,0,0,D,A Woolmer,8,6,5,1,13,16,7,4,2,2,0,0,20220226,English Second
26/02/2022,2021,Millwall,Sheffield United,1,0,H,0,0,D,M Salisbury,6,8,2,3,7,13,4,2,0,4,0,0,20220226,English Second
26/02/2022,2021,Nott'm Forest,Bristol City,2,0,H,1,0,H,D Bond,16,5,6,1,9,14,11,5,1,4,0,0,20220226,English Second
26/02/2022,2021,Peterboro,Hull,0,3,A,0,1,A,T Harrington,5,11,1,6,8,4,5,1,3,0,0,0,20220226,English Second
28/02/2022,2021,West Brom,Swansea,0,2,A,0,0,D,D Whitestone,12,15,1,4,7,8,4,7,0,2,0,0,20220228,English Second
01/03/2022,2021,Cardiff,Derby,1,0,H,0,0,D,A Davies,14,9,4,1,11,10,3,6,2,4,0,0,20220301,English Second
04/03/2022,2021,Huddersfield,Peterboro,3,0,H,2,0,H,D Bond,16,10,7,1,9,7,4,4,0,1,0,0,20220304,English Second
04/03/2022,2021,Sheffield United,Nott'm Forest,1,1,D,0,0,D,J Smith,8,13,6,4,17,12,6,12,4,1,0,0,20220304,English Second
05/03/2022,2021,Fulham,Blackburn,2,0,H,2,0,H,D Webb,14,4,6,1,10,14,5,5,2,2,0,0,20220305,English Second
05/03/2022,2021,Bristol City,Birmingham,1,2,A,0,2,A,T Bramall,11,13,4,6,6,8,4,5,2,1,0,0,20220305,English Second
05/03/2022,2021,Derby,Barnsley,2,0,H,1,0,H,R Jones,9,9,2,3,8,9,4,4,0,2,0,0,20220305,English Second
05/03/2022,2021,Hull,West Brom,0,2,A,0,1,A,J Linington,13,7,2,5,9,10,5,3,2,2,0,0,20220305,English Second
05/03/2022,2021,Middlesbrough,Luton,2,1,H,1,0,H,J Simpson,8,9,3,5,10,20,4,2,2,3,0,0,20220305,English Second
05/03/2022,2021,Preston,Bournemouth,2,1,H,0,0,D,M Donohue,13,8,5,3,11,10,2,4,4,1,0,1,20220305,English Second
05/03/2022,2021,QPR,Cardiff,1,2,A,1,0,H,M Salisbury,18,11,3,4,8,12,8,2,1,0,0,0,20220305,English Second
05/03/2022,2021,Reading,Millwall,0,1,A,0,1,A,A Woolmer,11,7,3,2,11,13,6,2,2,2,0,0,20220305,English Second
05/03/2022,2021,Stoke,Blackpool,0,1,A,0,0,D,T Harrington,10,9,2,4,15,10,2,2,3,3,0,0,20220305,English Second
05/03/2022,2021,Swansea,Coventry,3,1,H,2,0,H,G Eltringham,8,12,3,4,9,11,1,4,2,2,0,0,20220305,English Second
08/03/2022,2021,Barnsley,Stoke,1,1,D,0,0,D,L Doughty,7,12,2,2,15,11,2,8,2,0,0,0,20220308,English Second
08/03/2022,2021,Blackburn,Millwall,0,0,D,0,0,D,D Whitestone,12,0,3,0,3,13,10,2,1,2,0,0,20220308,English Second
08/03/2022,2021,Bournemouth,Peterboro,1,1,D,0,1,A,G Ward,22,6,2,2,6,9,3,7,2,1,0,0,20220308,English Second
08/03/2022,2021,Coventry,Luton,0,1,A,0,1,A,O Langford,12,6,3,3,7,16,2,2,3,5,0,0,20220308,English Second
08/03/2022,2021,Sheffield United,Middlesbrough,4,1,H,2,0,H,T Robinson,12,7,5,2,15,7,5,3,3,3,0,0,20220308,English Second
08/03/2022,2021,Swansea,Fulham,1,5,A,0,0,D,J Gillett,5,12,3,7,6,10,2,5,0,0,1,0,20220308,English Second
11/03/2022,2021,West Brom,Huddersfield,2,2,D,0,1,A,M Donohue,13,15,4,9,12,6,6,7,3,2,0,0,20220311,English Second
12/03/2022,2021,Barnsley,Fulham,1,1,D,1,0,H,T Robinson,8,16,3,3,15,13,4,5,4,3,0,0,20220312,English Second
12/03/2022,2021,Birmingham,Hull,0,0,D,0,0,D,M Salisbury,13,8,2,2,10,15,5,6,0,1,0,0,20220312,English Second
12/03/2022,2021,Blackburn,Bristol City,0,1,A,0,0,D,G Ward,14,8,7,3,11,12,7,3,1,3,0,0,20220312,English Second
12/03/2022,2021,Blackpool,Swansea,1,0,H,1,0,H,S Martin,11,8,4,1,11,10,7,3,0,2,0,0,20220312,English Second
12/03/2022,2021,Bournemouth,Derby,2,0,H,1,0,H,A Madley,14,8,7,3,11,6,7,4,3,2,0,0,20220312,English Second
12/03/2022,2021,Cardiff,Preston,0,0,D,0,0,D,J Linington,9,9,3,3,7,5,5,2,2,2,0,0,20220312,English Second
12/03/2022,2021,Coventry,Sheffield United,4,1,H,1,1,D,J Simpson,27,12,14,4,13,4,5,7,0,0,0,0,20220312,English Second
12/03/2022,2021,Millwall,Middlesbrough,0,0,D,0,0,D,R Jones,10,7,2,4,12,7,8,6,4,1,0,0,20220312,English Second
12/03/2022,2021,Nott'm Forest,Reading,4,0,H,1,0,H,T Bramall,10,7,5,3,18,14,2,4,2,4,0,0,20220312,English Second
12/03/2022,2021,Peterboro,Stoke,2,2,D,1,1,D,D Whitestone,6,14,3,2,18,10,3,3,1,2,0,0,20220312,English Second
