Mapping,Count
Pred Home Win → Actual Draw,33
Pred Home Win → Actual Away Win,37
Pred Draw → Actual Home Win,13
Pred Draw → Actual Away Win,15
Pred Away Win → Actual Home Win,31
Pred Away Win → Actual Draw,34
