Mapping,Count
Pred Home Win → Actual Draw,28
Pred Home Win → Actual Away Win,20
Pred Draw → Actual Home Win,32
Pred Draw → Actual Away Win,20
Pred Away Win → Actual Home Win,34
Pred Away Win → Actual Draw,39
