Model,Strategy,InitialBankroll,FinalBalance,Profit,ProfitLossPercent,BetsPlaced,TotalStaked,ROI_On_Stake,Return_On_Bankroll,MaxDropFromPeak,StoppedEarly,StopDate
random_forest,Kelly,380.0,341.89803946532476,-38.10196053467524,-10.02683171965138,26,473.0014707424698,-0.08055357729621146,-0.1002683171965138,0.41766211604095566,False,
random_forest,Half-Kelly,380.0,394.93228443984407,14.932284439844068,3.9295485368010703,33,479.46835658784,0.031143420070743354,0.0392954853680107,0.39259546520897326,False,
random_forest,Intelligent Kelly,380.0,369.65913442793845,-10.340865572061546,-2.721280413700407,40,445.0002889132154,-0.02323788507489764,-0.027212804137004068,0.37399087717644275,False,
random_forest,Intelligent Half-Kelly,380.0,327.07933551013934,-52.920664489860656,-13.92649065522649,55,364.02124429506443,-0.14537795614742965,-0.1392649065522649,0.3062573123145098,False,
random_forest,Flat Prediction,380.0,349.6159344978398,-30.384065502160183,-7.995806711094786,380,346.34867702859526,-0.0877268126525906,-0.07995806711094786,0.0940259992407185,False,
