Model,Strategy,InitialBankroll,FinalBalance,Profit,ProfitLossPercent,BetsPlaced,TotalStaked,ROI_On_Stake,Return_On_Bankroll,MaxDropFromPeak,StoppedEarly,StopDate
random_forest,Kelly,100.0,0.9956345531138852,-99.00436544688611,-99.00436544688611,132,316.93025089577515,-0.31238534398991286,-0.9900436544688611,0.9901847161681856,True,02/12/2023
random_forest,Half-Kelly,100.0,1.0676616610082015,-98.9323383389918,-98.9323383389918,367,416.6703564430149,-0.23743550941215585,-0.989323383389918,0.9898141437015913,False,
random_forest,Intelligent Kelly,100.0,21.57893553114901,-78.42106446885099,-78.42106446885099,369,477.60283195915633,-0.1641972350690697,-0.7842106446885099,0.8068726456987246,False,
random_forest,Intelligent Half-Kelly,100.0,51.3572524575324,-48.6427475424676,-48.6427475424676,369,340.31918010915933,-0.14293272429389717,-0.486427475424676,0.5160744958538374,False,
