Mapping,Count
Pred Home Win → Actual Draw,27
Pred Home Win → Actual Away Win,19
Pred Draw → Actual Home Win,47
Pred Draw → Actual Away Win,31
Pred Away Win → Actual Home Win,26
Pred Away Win → Actual Draw,25
