Mapping,Count
Pred Home Win → Actual Draw,40
Pred Home Win → Actual Away Win,35
Pred Draw → Actual Home Win,7
Pred Draw → Actual Away Win,9
Pred Away Win → Actual Home Win,39
Pred Away Win → Actual Draw,37
