Mapping,Count
Pred Home Win → Actual Draw,57
Pred Home Win → Actual Away Win,74
Pred Draw → Actual Home Win,7
Pred Draw → Actual Away Win,4
Pred Away Win → Actual Home Win,34
Pred Away Win → Actual Draw,19
