Mapping,Count
Pred Home Win → Actual Draw,38
Pred Home Win → Actual Away Win,34
Pred Draw → Actual Home Win,8
Pred Draw → Actual Away Win,7
Pred Away Win → Actual Home Win,41
Pred Away Win → Actual Draw,36
