Mapping,Count
Pred Home Win → Actual Draw,33
Pred Home Win → Actual Away Win,27
Pred Draw → Actual Home Win,11
Pred Draw → Actual Away Win,10
Pred Away Win → Actual Home Win,49
Pred Away Win → Actual Draw,41
