Mapping,Count
Pred Home Win → Actual Draw,40
Pred Home Win → Actual Away Win,42
Pred Draw → Actual Home Win,7
Pred Draw → Actual Away Win,7
Pred Away Win → Actual Home Win,33
Pred Away Win → Actual Draw,35
