Model,Strategy,InitialBankroll,FinalBalance,Profit,ProfitLossPercent,BetsPlaced,TotalStaked,ROI_On_Stake,Return_On_Bankroll,MaxDropFromPeak,StoppedEarly,StopDate
logistic_regression,Kelly,380.0,284.2785573589326,-95.72144264106743,-25.18985332659669,25,381.4,-0.25097389260898645,-0.2518985332659669,0.27664489221645655,False,
logistic_regression,Half-Kelly,380.0,289.3300748436815,-90.66992515631853,-23.860506620083825,31,386.0348432987818,-0.2348749775577697,-0.23860506620083824,0.2637911581585713,False,
logistic_regression,Intelligent Kelly,380.0,392.2727128976086,12.272712897608585,3.2296612888443645,35,508.74783127255773,0.024123371429240696,0.03229661288844365,0.2366412213740458,False,
logistic_regression,Intelligent Half-Kelly,380.0,333.6078840755307,-46.392115924469294,-12.208451559070866,53,436.1259792402883,-0.10637319979259721,-0.12208451559070867,0.21713256771802142,False,
logistic_regression,Flat Prediction,380.0,358.06424921287544,-21.93575078712456,-5.772565996611727,380,357.78375702327844,-0.06131008005960807,-0.05772565996611727,0.08743820397441256,False,
random_forest,Kelly,380.0,395.7,15.699999999999989,4.131578947368418,25,522.0887001795331,0.030071518488335707,0.04131578947368418,0.363567266278186,False,
random_forest,Half-Kelly,380.0,481.1062296569223,101.10622965692232,26.606902541295348,34,538.1723942429805,0.1878695948333494,0.26606902541295346,0.2682716074705063,False,
random_forest,Intelligent Kelly,380.0,476.9510125681987,96.95101256819868,25.513424360052284,48,503.5056281536522,0.1925519937556937,0.25513424360052284,0.23511563184278203,False,
random_forest,Intelligent Half-Kelly,380.0,435.9882862290822,55.98828622908218,14.733759533968993,78,417.3233631251626,0.1341604405030406,0.14733759533968993,0.17973942430136758,False,
random_forest,Flat Prediction,380.0,378.6009955284964,-1.3990044715035879,-0.3681590714483126,380,373.62194510669804,-0.0037444387028820365,-0.003681590714483126,0.09893070184232511,False,
xgboost,Kelly,380.0,210.0,-170.0,-44.73684210526316,25,307.16402873684217,-0.5534502223424239,-0.4473684210526316,0.4473684210526316,False,
xgboost,Half-Kelly,380.0,226.06640537572503,-153.93359462427497,-40.50884069059868,30,312.91910871213526,-0.49192775493261304,-0.4050884069059868,0.4050884069059868,False,
xgboost,Intelligent Kelly,380.0,243.1350034240288,-136.8649965759712,-36.017104362097676,39,290.4113768118615,-0.4712797345561192,-0.3601710436209768,0.3601710436209768,False,
xgboost,Intelligent Half-Kelly,380.0,268.1203283414566,-111.87967165854337,-29.442018857511414,62,309.8182653053364,-0.3611138663767359,-0.29442018857511415,0.3169057923974008,False,
xgboost,Flat Prediction,380.0,407.3291444814669,27.329144481466926,7.1918801267018235,370,406.9492904903856,0.06715614235015503,0.07191880126701823,0.048029399412689924,False,
