Mapping,Count
Pred Home Win → Actual Draw,42
Pred Home Win → Actual Away Win,42
Pred Draw → Actual Home Win,4
Pred Draw → Actual Away Win,7
Pred Away Win → Actual Home Win,36
Pred Away Win → Actual Draw,34
