Mapping,Count
Pred Home Win → Actual Draw,42
Pred Home Win → Actual Away Win,44
Pred Draw → Actual Home Win,10
Pred Draw → Actual Away Win,9
Pred Away Win → Actual Home Win,37
Pred Away Win → Actual Draw,33
