Mapping,Count
Pred Home Win → Actual Draw,40
Pred Home Win → Actual Away Win,37
Pred Draw → Actual Home Win,9
Pred Draw → Actual Away Win,6
Pred Away Win → Actual Home Win,40
Pred Away Win → Actual Draw,35
