Mapping,Count
Pred Home Win → Actual Draw,37
Pred Home Win → Actual Away Win,29
Pred Draw → Actual Home Win,30
Pred Draw → Actual Away Win,16
Pred Away Win → Actual Home Win,29
Pred Away Win → Actual Draw,27
