Model,Date,HomeTeam,AwayTeam,Gameweek,BetPlaced,ModelPredictedOutcome,ModelPredictedEncoded,ActualResult,EloTierHome,EloTierAway,BetOn,BetOnEncoded,p,q,b,Odds,KellyFraction,HalfKellyFraction,KellyStake,HalfKellyStake,KellyProfitLoss,HalfKellyProfitLoss,IntelligentMultiplier,IntelligentKellyFraction,IntelligentHalfKellyFraction,IntelligentKellyStake,IntelligentHalfKellyStake,IntelligentKellyProfitLoss,IntelligentHalfKellyProfitLoss,FlatPredictionStake,FlatPredictionProfitLoss,KellyBalanceBefore,KellyBalanceAfter,HalfKellyBalanceBefore,HalfKellyBalanceAfter,IntelligentKellyBalanceBefore,IntelligentKellyBalanceAfter,IntelligentHalfKellyBalanceBefore,IntelligentHalfKellyBalanceAfter,FlatPredictionBalanceBefore,FlatPredictionBalanceAfter,KellyDropFromPeak,HalfKellyDropFromPeak,IntelligentKellyDropFromPeak,IntelligentHalfKellyDropFromPeak,FlatPredictionDropFromPeak
xgboost,05/08/2022,Crystal Palace,Arsenal,1,False,Away,-1,-1,3,2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8500000000000001,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.85,0.0,0.0,0.0,0.0,0.0
xgboost,06/08/2022,Bournemouth,Aston Villa,1,False,Away,-1,1,4,3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.85,379.85,0.0,0.0,0.0,0.0,0.0026257056583956937
xgboost,06/08/2022,Everton,Chelsea,1,False,Away,-1,-1,4,2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6100000000000001,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,379.85,380.46000000000004,0.0,0.0,0.0,0.0,0.0010240252067742848
xgboost,06/08/2022,Fulham,Liverpool,1,False,Away,-1,0,4,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.46000000000004,379.46000000000004,0.0,0.0,0.0,0.0,0.0036497308651699785
xgboost,06/08/2022,Leeds,Wolves,1,False,Away,-1,1,3,3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,379.46000000000004,378.46000000000004,0.0,0.0,0.0,0.0,0.006275436523565672
xgboost,06/08/2022,Newcastle,Nott'm Forest,1,False,Home,1,1,3,4,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6599999999999999,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,378.46000000000004,379.12000000000006,0.0,0.0,0.0,0.0,0.004542470789024449
xgboost,06/08/2022,Tottenham,Southampton,1,False,Home,1,1,2,4,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33000000000000007,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,379.12000000000006,379.45000000000005,0.0,0.0,0.0,0.0,0.0036759879217539114
xgboost,07/08/2022,Leicester,Brentford,1,False,Home,1,0,3,3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,379.45000000000005,378.45000000000005,0.0,0.0,0.0,0.0,0.006301693580149605
xgboost,07/08/2022,Man United,Brighton,1,False,Home,1,-1,2,3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,378.45000000000005,377.45000000000005,0.0,0.0,0.0,0.0,0.008927399238545299
xgboost,07/08/2022,West Ham,Man City,1,False,Away,-1,-1,3,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3600000000000001,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,377.45000000000005,377.81000000000006,0.0,0.0,0.0,0.0,0.007982145201522814
