Model,Date,HomeTeam,AwayTeam,Gameweek,BetPlaced,ModelPredictedOutcome,ModelPredictedEncoded,ActualResult,EloTierHome,EloTierAway,BetOn,BetOnEncoded,p,q,b,Odds,KellyFraction,HalfKellyFraction,KellyStake,HalfKellyStake,KellyProfitLoss,HalfKellyProfitLoss,IntelligentMultiplier,IntelligentKellyFraction,IntelligentHalfKellyFraction,IntelligentKellyStake,IntelligentHalfKellyStake,IntelligentKellyProfitLoss,IntelligentHalfKellyProfitLoss,FlatPredictionStake,FlatPredictionProfitLoss,KellyBalanceBefore,KellyBalanceAfter,HalfKellyBalanceBefore,HalfKellyBalanceAfter,IntelligentKellyBalanceBefore,IntelligentKellyBalanceAfter,IntelligentHalfKellyBalanceBefore,IntelligentHalfKellyBalanceAfter,FlatPredictionBalanceBefore,FlatPredictionBalanceAfter,KellyDropFromPeak,HalfKellyDropFromPeak,IntelligentKellyDropFromPeak,IntelligentHalfKellyDropFromPeak,FlatPredictionDropFromPeak
xgboost,13/08/2021,Brentford,Arsenal,1,False,Away,-1,1,4,2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,379.0,0.0,0.0,0.0,0.0,0.002631578947368421
xgboost,14/08/2021,Burnley,Brighton,1,False,Away,-1,-1,3,3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4500000000000002,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,379.0,380.45,0.0,0.0,0.0,0.0,0.0
xgboost,14/08/2021,Chelsea,Crystal Palace,1,False,Home,1,1,1,4,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.45,380.7,0.0,0.0,0.0,0.0,0.0
xgboost,14/08/2021,Everton,Southampton,1,False,Away,-1,1,3,3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.7,379.7,0.0,0.0,0.0,0.0,0.002626740215392698
xgboost,14/08/2021,Leicester,Wolves,1,False,Home,1,1,2,3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6599999999999999,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,379.7,380.36,0.0,0.0,0.0,0.0,0.0008930916732334516
xgboost,14/08/2021,Man United,Leeds,1,False,Home,1,1,1,3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.53,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.36,380.89,0.0,0.0,0.0,0.0,0.0
xgboost,14/08/2021,Norwich,Liverpool,1,False,Away,-1,-1,4,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.30000000000000004,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.89,381.19,0.0,0.0,0.0,0.0,0.0
xgboost,14/08/2021,Watford,Aston Villa,1,False,Away,-1,1,4,3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,381.19,380.19,0.0,0.0,0.0,0.0,0.0026233636769065296
xgboost,15/08/2021,Newcastle,West Ham,1,False,Away,-1,-1,3,2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2000000000000002,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.19,381.39,0.0,0.0,0.0,0.0,0.0
xgboost,15/08/2021,Tottenham,Man City,1,False,Away,-1,1,2,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,381.39,380.39,0.0,0.0,0.0,0.0,0.0026219879912949997
