Model,Strategy,InitialBankroll,FinalBalance,Profit,ProfitLossPercent
logistic_regression,Flat Prediction,380.0,357.7472291715654,-22.25277082843462,-5.855992323272269
logistic_regression,Flat Prediction,760.0,715.4944583431308,-44.50554165686924,-5.855992323272269
logistic_regression,Flat Prediction,1140.0,1073.2416875146882,-66.75831248531176,-5.855992323272961
logistic_regression,Flat Prediction,1520.0,1430.9889166862615,-89.01108331373848,-5.855992323272269
logistic_regression,Flat Prediction,1900.0,1788.736145857817,-111.26385414218294,-5.855992323272786
logistic_regression,Flat Prediction,2280.0,2146.4833750293765,-133.51662497062352,-5.855992323272961
logistic_regression,Flat Prediction,2660.0,2504.230604200944,-155.76939579905593,-5.85599232327278
logistic_regression,Flat Prediction,3040.0,2861.977833372523,-178.02216662747696,-5.855992323272269
logistic_regression,Flat Prediction,3420.0,3219.7250625440774,-200.27493745592255,-5.85599232327259
logistic_regression,Flat Prediction,3800.0,3577.472291715634,-222.52770828436587,-5.855992323272786
logistic_regression,Half-Kelly,380.0,236.17490661937325,-143.82509338062675,-37.84870878437546
logistic_regression,Half-Kelly,760.0,472.3498132387465,-287.6501867612535,-37.84870878437546
logistic_regression,Half-Kelly,1140.0,708.5247198581196,-431.4752801418804,-37.848708784375475
logistic_regression,Half-Kelly,1520.0,944.699626477493,-575.300373522507,-37.84870878437546
logistic_regression,Half-Kelly,1900.0,1180.874533096866,-719.1254669031341,-37.84870878437548
logistic_regression,Half-Kelly,2280.0,1417.0494397162392,-862.9505602837608,-37.848708784375475
logistic_regression,Half-Kelly,2660.0,1653.2243463356112,-1006.7756536643888,-37.84870878437552
logistic_regression,Half-Kelly,3040.0,1889.399252954986,-1150.600747045014,-37.84870878437546
logistic_regression,Half-Kelly,3420.0,2125.574159574358,-1294.425840425642,-37.848708784375496
logistic_regression,Half-Kelly,3800.0,2361.749066193732,-1438.2509338062682,-37.84870878437548
logistic_regression,Intelligent Half-Kelly,380.0,455.92752270773786,75.92752270773786,19.98092702835207
logistic_regression,Intelligent Half-Kelly,760.0,911.9050406491318,151.90504064913182,19.987505348569975
logistic_regression,Intelligent Half-Kelly,1140.0,1367.8575609736972,227.85756097369722,19.987505348569933
logistic_regression,Intelligent Half-Kelly,1520.0,1823.8100812982636,303.81008129826364,19.987505348569975
logistic_regression,Intelligent Half-Kelly,1900.0,2279.7626016228282,379.76260162282824,19.987505348569908
logistic_regression,Intelligent Half-Kelly,2280.0,2735.7151219473944,455.71512194739444,19.987505348569933
logistic_regression,Intelligent Half-Kelly,2660.0,3191.6676422719647,531.6676422719647,19.987505348570103
logistic_regression,Intelligent Half-Kelly,3040.0,3647.6201625965273,607.6201625965273,19.987505348569975
logistic_regression,Intelligent Half-Kelly,3420.0,4103.572682921093,683.5726829210926,19.987505348569957
logistic_regression,Intelligent Half-Kelly,3800.0,4559.5252032456565,759.5252032456565,19.987505348569908
logistic_regression,Intelligent Kelly,380.0,322.31800949941413,-57.68199050058587,-15.1794711843647
logistic_regression,Intelligent Kelly,760.0,644.6360189988283,-115.36398100117174,-15.1794711843647
logistic_regression,Intelligent Kelly,1140.0,966.9540284982426,-173.04597150175744,-15.179471184364687
logistic_regression,Intelligent Kelly,1520.0,1289.2720379976565,-230.72796200234347,-15.1794711843647
logistic_regression,Intelligent Kelly,1900.0,1611.59004749707,-288.4099525029301,-15.17947118436474
logistic_regression,Intelligent Kelly,2280.0,1933.9080569964851,-346.09194300351487,-15.179471184364687
logistic_regression,Intelligent Kelly,2660.0,2256.2260664958976,-403.7739335041024,-15.17947118436475
logistic_regression,Intelligent Kelly,3040.0,2578.544075995313,-461.45592400468695,-15.1794711843647
logistic_regression,Intelligent Kelly,3420.0,2900.8620854947258,-519.1379145052742,-15.179471184364743
logistic_regression,Intelligent Kelly,3800.0,3223.18009499414,-576.8199050058602,-15.17947118436474
logistic_regression,Kelly,380.0,242.34981323874626,-137.65018676125374,-36.22373335822467
logistic_regression,Kelly,760.0,484.69962647749253,-275.30037352250747,-36.22373335822467
logistic_regression,Kelly,1140.0,727.049439716239,-412.950560283761,-36.22373335822465
logistic_regression,Kelly,1520.0,969.3992529549851,-550.6007470450149,-36.22373335822467
logistic_regression,Kelly,1900.0,1211.7490661937318,-688.2509338062682,-36.22373335822464
logistic_regression,Kelly,2280.0,1454.098879432478,-825.901120567522,-36.22373335822465
logistic_regression,Kelly,2660.0,1696.4486926712243,-963.5513073287757,-36.22373335822465
logistic_regression,Kelly,3040.0,1938.7985059099701,-1101.2014940900299,-36.22373335822467
logistic_regression,Kelly,3420.0,2181.148319148717,-1238.8516808512832,-36.22373335822465
logistic_regression,Kelly,3800.0,2423.4981323874636,-1376.5018676125364,-36.22373335822464
random_forest,Flat Prediction,380.0,354.1000946890142,-25.899905310985787,-6.815764555522576
random_forest,Flat Prediction,760.0,708.2001893780284,-51.799810621971574,-6.815764555522576
random_forest,Flat Prediction,1140.0,1062.300284067044,-77.699715932956,-6.815764555522456
