Mapping,Count
Pred Home Win → Actual Draw,40
Pred Home Win → Actual Away Win,40
Pred Draw → Actual Home Win,12
Pred Draw → Actual Away Win,15
Pred Away Win → Actual Home Win,37
Pred Away Win → Actual Draw,34
