Mapping,Count
Pred Home Win → Actual Draw,29
Pred Home Win → Actual Away Win,21
Pred Draw → Actual Home Win,26
Pred Draw → Actual Away Win,19
Pred Away Win → Actual Home Win,37
Pred Away Win → Actual Draw,34
