Mapping,Count
Pred Home Win → Actual Draw,40
Pred Home Win → Actual Away Win,39
Pred Draw → Actual Home Win,8
Pred Draw → Actual Away Win,11
Pred Away Win → Actual Home Win,36
Pred Away Win → Actual Draw,37
