Model,Strategy,InitialBankroll,FinalBalance,Profit,ProfitLossPercent,BetsPlaced,TotalStaked,ROI_On_Stake,Return_On_Bankroll,MaxDropFromPeak,StoppedEarly,StopDate
logistic_regression,Kelly,380.0,524.3399999999999,144.33999999999992,37.98421052631577,24,1120.0403337398625,0.12887035908612549,0.3798421052631577,0.5060573928898938,False,
logistic_regression,Half-Kelly,380.0,990.7326668699313,610.7326668699313,160.71912286050824,28,1563.4688850609405,0.3906266844869934,1.6071912286050825,0.352872108285535,False,
logistic_regression,Intelligent Kelly,380.0,791.2153953067707,411.2153953067707,108.21457771230807,32,936.0045594031442,0.4393305472453977,1.0821457771230807,0.25367616831383194,False,
logistic_regression,Intelligent Half-Kelly,380.0,465.17495350748663,85.17495350748663,22.41446144933859,41,525.6698422485347,0.1620312726009803,0.22414461449338588,0.1700918418472318,False,
logistic_regression,Flat Prediction,380.0,401.43711164723214,21.437111647232143,5.641345170324248,370,413.4000468530145,0.05185561010556481,0.05641345170324248,0.11210937436501732,False,
random_forest,Kelly,380.0,812.8655403994242,432.86554039942416,113.91198431563794,21,1084.6079162810188,0.39909863638434845,1.1391198431563794,0.3864732694810163,False,
random_forest,Half-Kelly,380.0,613.5140633501553,233.5140633501553,61.451069302672444,22,726.6843072107829,0.3213418275763343,0.6145106930267245,0.3457177760920862,False,
random_forest,Intelligent Kelly,380.0,421.8688377930053,41.8688377930053,11.018115208685604,25,461.1441876236181,0.09079337638139827,0.11018115208685604,0.3534900794235243,False,
random_forest,Intelligent Half-Kelly,380.0,389.6735747385935,9.673574738593516,2.545677562787767,34,369.3408412550649,0.026191456936420943,0.02545677562787767,0.2260097158402551,False,
random_forest,Flat Prediction,380.0,389.83540308231,9.835403082309995,2.588263969028946,380,380.42866500448355,0.025853475268994463,0.02588263969028946,0.05838665102969226,False,
xgboost,Kelly,380.0,624.0208053614023,244.02080536140227,64.21600141089533,27,782.8818057986916,0.31169558872613423,0.6421600141089533,0.285450090156734,False,
xgboost,Half-Kelly,380.0,530.0424435809189,150.04244358091887,39.484853573926024,33,643.5981661676777,0.2331306263259738,0.3948485357392602,0.2854500901567339,False,
xgboost,Intelligent Kelly,380.0,474.35115321230086,94.35115321230086,24.829250845342333,40,563.6828642974092,0.1673833979855018,0.24829250845342332,0.17224084033746864,False,
xgboost,Intelligent Half-Kelly,380.0,542.0798201843797,162.07982018437974,42.6525842590473,59,551.7411404455506,0.2937606212462143,0.426525842590473,0.11637873234223307,False,
xgboost,Flat Prediction,380.0,389.36300433438817,9.363004334388165,2.4639485090495175,380,383.57124924974204,0.024410078577844458,0.024639485090495173,0.047244695775212404,False,
