Mapping,Count
Pred Home Win → Actual Draw,41
Pred Home Win → Actual Away Win,39
Pred Draw → Actual Home Win,3
Pred Draw → Actual Away Win,6
Pred Away Win → Actual Home Win,36
Pred Away Win → Actual Draw,35
