Mapping,Count
Pred Home Win → Actual Draw,29
Pred Home Win → Actual Away Win,21
Pred Draw → Actual Home Win,36
Pred Draw → Actual Away Win,26
Pred Away Win → Actual Home Win,28
Pred Away Win → Actual Draw,28
