Mapping,Count
Pred Home Win → Actual Draw,48
Pred Home Win → Actual Away Win,40
Pred Draw → Actual Home Win,0
Pred Draw → Actual Away Win,0
Pred Away Win → Actual Home Win,35
Pred Away Win → Actual Draw,34
