Model,Strategy,InitialBankroll,FinalBalance,Profit,ProfitLossPercent
random_forest,Intelligent Kelly,900.0,183.23278552008517,-716.7672144799149,-79.64080160887943
random_forest,Intelligent Kelly,1000.0,203.59198391120603,-796.4080160887939,-79.6408016088794
random_forest,Kelly,100.0,0.9786160024863491,-99.02138399751365,-99.02138399751365
random_forest,Kelly,200.0,0.8950487586535131,-199.1049512413465,-99.55247562067325
random_forest,Kelly,300.0,0.996161480308464,-299.00383851969156,-99.66794617323052
random_forest,Kelly,400.0,0.9586972797784381,-399.04130272022155,-99.76032568005539
random_forest,Kelly,500.0,0.9004866421297,-499.0995133578703,-99.81990267157406
random_forest,Kelly,600.0,0.9774952604870522,-599.0225047395129,-99.83708412325215
random_forest,Kelly,700.0,0.9609880433192697,-699.0390119566807,-99.86271599381153
random_forest,Kelly,800.0,0.9079988745508689,-799.0920011254491,-99.88650014068114
random_forest,Kelly,900.0,0.9911742107886533,-899.0088257892113,-99.88986953213458
random_forest,Kelly,1000.0,0.948920100250246,-999.0510798997498,-99.90510798997498
xgboost,Half-Kelly,100.0,7.959219188419447,-92.04078081158055,-92.04078081158055
xgboost,Half-Kelly,200.0,15.918438376838894,-184.0815616231611,-92.04078081158055
xgboost,Half-Kelly,300.0,23.877657565258346,-276.12234243474165,-92.04078081158055
xgboost,Half-Kelly,400.0,31.834858786849804,-368.1651412131502,-92.04128530328755
xgboost,Half-Kelly,500.0,39.79357348356221,-460.2064265164378,-92.04128530328755
xgboost,Half-Kelly,600.0,47.75228818027468,-552.2477118197253,-92.04128530328755
xgboost,Half-Kelly,700.0,55.71100287698713,-644.2889971230129,-92.04128530328755
xgboost,Half-Kelly,800.0,63.66971757369961,-736.3302824263004,-92.04128530328755
xgboost,Half-Kelly,900.0,71.62843227041213,-828.3715677295879,-92.04128530328755
xgboost,Half-Kelly,1000.0,79.58714696712443,-920.4128530328755,-92.04128530328755
xgboost,Intelligent Half-Kelly,100.0,116.96111497130255,16.96111497130255,16.96111497130255
xgboost,Intelligent Half-Kelly,200.0,233.91191333487293,33.911913334872935,16.955956667436467
xgboost,Intelligent Half-Kelly,300.0,350.867870002309,50.86787000230902,16.95595666743634
xgboost,Intelligent Half-Kelly,400.0,467.82382666974587,67.82382666974587,16.955956667436467
xgboost,Intelligent Half-Kelly,500.0,584.7797833371827,84.77978333718272,16.955956667436546
xgboost,Intelligent Half-Kelly,600.0,701.735740004618,101.73574000461804,16.95595666743634
xgboost,Intelligent Half-Kelly,700.0,818.6916966720546,118.6916966720546,16.95595666743637
xgboost,Intelligent Half-Kelly,800.0,935.6476533394917,135.64765333949174,16.955956667436467
xgboost,Intelligent Half-Kelly,900.0,1052.6036100069277,152.60361000692774,16.955956667436414
xgboost,Intelligent Half-Kelly,1000.0,1169.5595666743654,169.55956667436544,16.955956667436546
xgboost,Intelligent Kelly,100.0,68.2228775401294,-31.777122459870597,-31.7771224598706
xgboost,Intelligent Kelly,200.0,136.4337198210858,-63.56628017891421,-31.783140089457106
xgboost,Intelligent Kelly,300.0,204.65057973162857,-95.34942026837143,-31.783140089457145
xgboost,Intelligent Kelly,400.0,272.8674396421716,-127.13256035782842,-31.783140089457106
xgboost,Intelligent Kelly,500.0,341.0842995527146,-158.91570044728542,-31.783140089457085
xgboost,Intelligent Kelly,600.0,409.30115946325714,-190.69884053674286,-31.783140089457145
xgboost,Intelligent Kelly,700.0,477.5180193737997,-222.4819806262003,-31.783140089457184
xgboost,Intelligent Kelly,800.0,545.7289734744711,-254.2710265255289,-31.783878315691112
xgboost,Intelligent Kelly,900.0,613.9450951587781,-286.05490484122186,-31.783878315691318
xgboost,Intelligent Kelly,1000.0,682.1612168430877,-317.8387831569123,-31.783878315691233
xgboost,Kelly,100.0,0.8419877346939849,-99.15801226530601,-99.15801226530601
xgboost,Kelly,200.0,0.9656596762254347,-199.03434032377456,-99.51717016188728
xgboost,Kelly,300.0,0.9656839924323309,-299.03431600756767,-99.67810533585589
xgboost,Kelly,400.0,0.9904511480855255,-399.0095488519145,-99.75238721297862
xgboost,Kelly,500.0,0.8798860985949594,-499.12011390140503,-99.82402278028101
xgboost,Kelly,600.0,0.9775806676163677,-599.0224193323836,-99.8370698887306
xgboost,Kelly,700.0,0.7364518111200417,-699.26354818888,-99.89479259841143
xgboost,Kelly,800.0,0.8416592127086183,-799.1583407872914,-99.89479259841143
xgboost,Kelly,900.0,0.9468666142971959,-899.0531333857028,-99.89479259841143
xgboost,Kelly,1000.0,0.8924556994767945,-999.1075443005232,-99.91075443005232
