Mapping,Count
Pred Home Win → Actual Draw,41
Pred Home Win → Actual Away Win,35
Pred Draw → Actual Home Win,0
Pred Draw → Actual Away Win,0
Pred Away Win → Actual Home Win,42
Pred Away Win → Actual Draw,41
