Mapping,Count
Pred Home Win → Actual Draw,40
Pred Home Win → Actual Away Win,31
Pred Draw → Actual Home Win,0
Pred Draw → Actual Away Win,0
Pred Away Win → Actual Home Win,46
Pred Away Win → Actual Draw,42
