Mapping,Count
Pred Home Win → Actual Draw,41
Pred Home Win → Actual Away Win,38
Pred Draw → Actual Home Win,5
Pred Draw → Actual Away Win,3
Pred Away Win → Actual Home Win,37
Pred Away Win → Actual Draw,35
