Model,Strategy,InitialBankroll,FinalBalance,Profit,ProfitLossPercent,BetsPlaced,TotalStaked,ROI_On_Stake,Return_On_Bankroll,MaxDropFromPeak,StoppedEarly,StopDate
logistic_regression,Kelly,380.0,530.1667352422311,150.16673524223108,39.517561905850286,29,774.8398692176944,0.19380357310968613,0.39517561905850285,0.3326823445671991,False,
logistic_regression,Half-Kelly,380.0,881.9605604561751,501.96056045617513,132.0948843305724,34,931.105261043779,0.5391018410673267,1.320948843305724,0.26853304220056007,False,
logistic_regression,Intelligent Kelly,380.0,642.136931079579,262.13693107957897,68.98340291567868,43,887.9870002915502,0.29520356828817573,0.6898340291567868,0.29541375027754146,False,
logistic_regression,Intelligent Half-Kelly,380.0,354.09072335733913,-25.90927664266087,-6.81823069543707,47,394.00245997394893,-0.06575917481422316,-0.0681823069543707,0.2761150386924602,False,
logistic_regression,Flat Prediction,380.0,401.43711164723214,21.437111647232143,5.641345170324248,370,413.4000468530145,0.05185561010556481,0.05641345170324248,0.11210937436501732,False,
random_forest,Kelly,380.0,306.07038446936434,-73.92961553063566,-19.455161981746226,31,477.06859914511193,-0.1549664255059222,-0.19455161981746225,0.33175880809247954,False,
random_forest,Half-Kelly,380.0,407.33491056172056,27.334910561720562,7.193397516242253,37,567.4603652475148,0.04817060756269317,0.07193397516242253,0.22858623538003217,False,
random_forest,Intelligent Kelly,380.0,392.1097366176987,12.109736617698672,3.1867727941312296,48,498.0091924230246,0.024316291349522484,0.0318677279413123,0.21361496778396205,False,
random_forest,Intelligent Half-Kelly,380.0,369.70577498554206,-10.294225014457936,-2.7090065827520884,71,407.05734307392595,-0.02528937308124766,-0.027090065827520885,0.17345607643775146,False,
random_forest,Flat Prediction,380.0,389.83540308231,9.835403082309995,2.588263969028946,380,380.42866500448355,0.025853475268994463,0.02588263969028946,0.05838665102969226,False,
xgboost,Kelly,380.0,690.1216826512306,310.12168265123057,81.61096911874489,31,821.653205636431,0.37743622312167385,0.8161096911874489,0.2500809098895002,False,
xgboost,Half-Kelly,380.0,633.5402670214685,253.54026702146848,66.72112290038645,41,717.3468903147043,0.353441647889822,0.6672112290038644,0.22041567614349655,False,
xgboost,Intelligent Kelly,380.0,598.3423287058822,218.3423287058822,57.458507554179526,48,653.4696090016208,0.33412774779146714,0.5745850755417953,0.12716454602186314,False,
xgboost,Intelligent Half-Kelly,380.0,533.2609741469602,153.26097414696017,40.33183530183162,68,537.2958681783855,0.2852450264815299,0.4033183530183162,0.09965571822076232,False,
xgboost,Flat Prediction,380.0,389.36300433438817,9.363004334388165,2.4639485090495175,380,383.57124924974204,0.024410078577844458,0.024639485090495173,0.047244695775212404,False,
