Mapping,Count
Pred Home Win → Actual Draw,29
Pred Home Win → Actual Away Win,22
Pred Draw → Actual Home Win,29
Pred Draw → Actual Away Win,21
Pred Away Win → Actual Home Win,38
Pred Away Win → Actual Draw,35
