Mapping,Count
Pred Home Win → Actual Draw,28
Pred Home Win → Actual Away Win,20
Pred Draw → Actual Home Win,30
Pred Draw → Actual Away Win,21
Pred Away Win → Actual Home Win,36
Pred Away Win → Actual Draw,34
