Season,Date,HomeTeam,AwayTeam,ResultEncoded,Bet365HomeWinOdds,Bet365DrawOdds,Bet365AwayWinOdds,Bet365HomeWinOddsPercentage,Bet365DrawOddsPercentage,Bet365AwayWinOddsPercentage,OddsFavourHome,OddsFavourDraw,OddsFavourAway,OddsDifference_HvA,OddsDifference_HvD,OddsDifference_AvD,DrawLikelihood,HomeForm,AwayForm,HomeAdvantageIndex,HomeGeneralForm,AwayGeneralForm,GeneralFormDifference,AverageGoalsScoredAtHome,AverageGoalsScoredAtAway,AverageGoalsConcededAtHome,AverageGoalsConcededAtAway,TotalGoalsScoredHome,TotalGoalsScoredAway,TotalGoalsConcededHome,TotalGoalsConcededAway,AverageShotsOnTargetAtHome,AverageShotsOnTargetAtAway,ShotsOnTargetDifference,WinStreakHome,WinStreakAway,LossStreakHome,LossStreakAway,TotalWinsHome,TotalWinsAway,TotalDrawsHome,TotalDrawsAway,TotalLossesHome,TotalLossesAway,HistoricalEncountersHome,HistoricalEncountersAway,HomeFifaOverall,HomeFifaAttack,HomeFifaMidfield,HomeFifaDefence,AwayFifaOverall,AwayFifaAttack,AwayFifaMidfield,AwayFifaDefence,FifaOverallDifference,FifaAttackDifference,FifaDefenceDifference,FifaMidfieldDifference,HFA,HomeElo,AwayElo,EloTierHome,EloTierAway,EloDifference
2019,17/08/2019,Arsenal,Burnley,1,1.3,5.5,10.0,0.7318695941450432,0.17298735861610112,0.09514304723885562,1,0,0,-8.7,-4.2,4.5,0.18181818181818182,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1,3,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,81,86,82,80,77,77,76,76,4,9,4,6,65.32848773165516,1876.90087891,1696.7902832,2,4,180.1105957100001
2019,17/08/2019,Aston Villa,Bournemouth,-1,2.3,3.4,3.1,0.41349548842683415,0.2797175362887407,0.3067869752844253,1,0,0,-0.8000000000000003,-1.1,-0.2999999999999998,0.29411764705882354,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1,1,3,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,7,75,76,75,73,77,79,77,76,-2,-3,-3,-2,65.32848773165516,1614.17553711,1691.47058105,4,4,-77.29504393999991
2019,17/08/2019,Brighton,West Ham,0,2.55,3.25,2.87,0.3740950929472397,0.2935207652355265,0.3323841418172338,1,0,0,-0.3200000000000003,-0.7000000000000002,-0.3799999999999999,0.3076923076923077,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3,0,0,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,4,76,77,76,75,79,80,79,76,-3,-3,-1,-3,65.32848773165516,1640.47888184,1727.70458984,4,3,-87.22570799999994
2019,17/08/2019,Everton,Watford,1,1.72,3.8,4.75,0.5510440835266821,0.24941995359628769,0.19953596287703013,1,0,0,-3.0300000000000002,-2.08,0.9500000000000002,0.2631578947368421,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,79,77,79,79,78,78,79,76,1,-1,3,0,65.32848773165516,1775.0020752,1669.6583252,3,4,105.34375
2019,17/08/2019,Norwich,Newcastle,1,2.25,3.3,3.3,0.42307692307692313,0.2884615384615385,0.2884615384615385,1,0,0,-1.0499999999999998,-1.0499999999999998,0.0,0.30303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,2,74,76,73,72,77,79,75,76,-3,-3,-4,-2,65.32848773165516,1633.75634766,1714.13769531,4,3,-80.38134764999995
2019,17/08/2019,Southampton,Liverpool,-1,6.5,4.75,1.44,0.14530005310674457,0.19883165161975572,0.6558682952734998,0,0,1,5.0600000000000005,1.75,-3.31,0.21052631578947367,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0,4,3,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,12,76,76,77,75,84,86,83,84,-8,-10,-9,-6,65.32848773165516,1667.22753906,2051.7043457,4,1,-384.47680663999995
2019,17/08/2019,Man City,Tottenham,0,1.36,5.25,8.0,0.6997667444185273,0.18127290903032325,0.11896034655114963,1,0,0,-6.64,-3.8899999999999997,2.75,0.19047619047619047,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5,3,0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,12,86,86,87,83,83,86,83,82,3,0,1,4,65.32848773165516,2047.58081055,1897.41186523,1,2,150.16894531999992
2019,18/08/2019,Sheffield United,Crystal Palace,1,2.55,3.1,2.9,0.3701111568546727,0.3044462741869082,0.3254425689584191,1,0,0,-0.3500000000000001,-0.5500000000000003,-0.20000000000000018,0.3225806451612903,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,6,73,73,72,73,77,79,77,76,-4,-6,-3,-5,65.82043327830543,1627.55615234,1745.76147461,4,3,-118.20532227000012
2019,18/08/2019,Chelsea,Leicester,0,1.7,3.75,5.0,0.5576208178438662,0.2527881040892193,0.1895910780669145,1,0,0,-3.3,-2.05,1.25,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,4,81,80,82,80,78,79,77,77,3,1,3,5,65.82043327830543,1872.140625,1740.62561035,2,3,131.51501465
2019,19/08/2019,Wolves,Man United,0,3.3,3.3,2.25,0.28846153846153844,0.28846153846153844,0.423076923076923,0,0,1,1.0499999999999998,0.0,-1.0499999999999998,0.30303030303030304,0.0,0.0,0.0,1.0,3.0,-2.0,0.0,0.0,0.0,0.0,0,4,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,10,78,77,80,77,82,82,81,80,-4,-5,-3,-1,65.95535041013844,1727.05090332,1857.65710449,3,2,-130.60620116999985
