Season,FifaVersion,Date,HomeTeam,AwayTeam,ResultEncoded,HomeFifaOverall,HomeFifaAttack,HomeFifaMidfield,HomeFifaDefence,AwayFifaOverall,AwayFifaAttack,AwayFifaMidfield,AwayFifaDefence,HFA,HomeElo,AwayElo,EloTierHome,EloTierAway
2019,20,15/09/2019,Watford,Arsenal,0,78,78,79,76,81,86,82,80,56.2,1661.65380859,1878.59448242,4,2
2019,20,16/09/2019,Aston Villa,West Ham,0,75,76,75,73,79,80,79,76,56.2,1622.25561523,1748.57263184,4,3
2019,20,20/09/2019,Southampton,Bournemouth,-1,76,76,77,75,77,79,77,76,56.2,1686.10791016,1696.83068848,4,4
2019,20,21/09/2019,Leicester,Tottenham,1,78,79,77,77,83,86,83,82,56.2,1751.4552002,1890.74951172,3,2
2019,20,21/09/2019,Burnley,Norwich,1,77,77,76,76,74,76,73,72,56.2,1689.4654541,1647.44519043,4,4
2019,20,21/09/2019,Everton,Sheffield United,-1,79,77,79,79,73,73,72,73,56.2,1754.08837891,1624.59509277,3,4
2019,20,21/09/2019,Man City,Watford,1,86,86,87,83,78,78,79,76,56.2,2033.51879883,1657.83178711,1,4
2019,20,21/09/2019,Newcastle,Brighton,0,77,79,75,76,76,77,76,75,56.2,1707.50024414,1622.84094238,3,4
2019,20,22/09/2019,Crystal Palace,Wolves,0,77,79,77,76,78,77,80,77,56.2,1741.7479248,1705.54748535,3,3
2019,20,22/09/2019,West Ham,Man United,1,79,80,79,76,82,82,81,80,56.2,1738.71398926,1842.23120117,3,2
2019,20,22/09/2019,Arsenal,Aston Villa,1,81,86,82,80,75,76,75,73,56.2,1878.61181641,1616.08642578,2,4
2019,20,22/09/2019,Chelsea,Liverpool,-1,81,80,82,80,84,86,83,84,56.2,1859.19213867,2041.2199707,2,1
2019,20,28/09/2019,Sheffield United,Liverpool,-1,73,73,72,73,84,86,83,84,56.2,1642.6105957,2046.09814453,4,1
2019,20,28/09/2019,Aston Villa,Burnley,0,75,76,75,73,77,77,76,76,56.2,1614.28503418,1697.10217285,4,4
2019,20,28/09/2019,Bournemouth,West Ham,0,77,79,77,76,79,80,79,76,56.2,1709.87976074,1751.78112793,3,3
2019,20,28/09/2019,Chelsea,Brighton,1,81,80,82,80,76,77,76,75,56.2,1854.31384277,1626.79516602,2,4
2019,20,28/09/2019,Crystal Palace,Norwich,1,77,79,77,76,74,76,73,72,56.2,1739.09228516,1639.80847168,3,4
2019,20,28/09/2019,Tottenham,Southampton,1,83,86,83,82,76,76,77,75,56.2,1880.5970459,1673.05871582,2,4
2019,20,28/09/2019,Wolves,Watford,1,78,77,80,77,78,78,79,76,56.2,1708.203125,1655.25231934,3,4
2019,20,28/09/2019,Everton,Man City,-1,79,77,79,79,86,86,87,83,56.2,1736.07287598,2036.09838867,3,1
2019,20,29/09/2019,Leicester,Newcastle,1,78,79,77,77,77,79,75,76,56.2,1761.60778809,1703.54602051,3,3
2019,20,30/09/2019,Man United,Arsenal,0,82,82,81,80,81,86,82,80,56.2,1829.16418457,1880.41333008,2,2
2019,20,05/10/2019,Brighton,Tottenham,1,76,77,76,75,83,86,83,82,56.2,1622.07006836,1862.49963379,4,2
2019,20,05/10/2019,Burnley,Everton,1,77,77,76,76,79,77,79,79,56.2,1694.89123535,1730.64294434,4,3
2019,20,05/10/2019,Liverpool,Leicester,1,84,86,83,84,78,79,77,77,56.2,2047.96130371,1771.94616699,1,3
2019,20,05/10/2019,Norwich,Aston Villa,-1,74,76,73,72,75,76,75,73,56.2,1632.28063965,1613.44152832,4,4
2019,20,05/10/2019,Watford,Sheffield United,0,78,78,79,76,73,73,72,73,56.2,1646.25720215,1639.50512695,4,4
2019,20,05/10/2019,West Ham,Crystal Palace,-1,79,80,79,76,77,79,77,76,56.2,1750.74645996,1743.5657959,3,3
2019,20,06/10/2019,Arsenal,Bournemouth,1,81,86,82,80,77,79,77,76,56.2,1882.16320801,1707.86010742,2,3
2019,20,06/10/2019,Man City,Wolves,-1,86,86,87,83,78,77,80,77,56.2,2039.91918945,1719.90148926,1,3
2019,20,06/10/2019,Southampton,Chelsea,-1,76,76,77,75,81,80,82,80,56.2,1669.04675293,1861.44934082,4,2
2019,20,06/10/2019,Newcastle,Man United,1,77,79,75,76,82,82,81,80,56.2,1690.15319824,1824.25561523,4,2
2019,20,19/10/2019,Everton,West Ham,1,79,77,79,79,79,80,79,76,56.2,1723.21374512,1741.13806152,3,3
2019,20,19/10/2019,Aston Villa,Brighton,1,75,76,75,73,76,77,76,75,56.2,1633.25549316,1643.91918945,4,4
2019,20,19/10/2019,Bournemouth,Norwich,0,77,79,77,76,74,76,73,72,56.2,1705.13085938,1612.46679688,3,4
2019,20,19/10/2019,Chelsea,Newcastle,1,81,80,82,80,77,79,75,76,56.2,1869.82348633,1700.28808594,2,3
2019,20,19/10/2019,Leicester,Burnley,1,78,79,77,77,77,77,76,76,56.2,1770.26086426,1702.32043457,3,3
2019,20,19/10/2019,Tottenham,Watford,0,83,86,83,82,78,78,79,76,56.2,1840.6505127,1644.38378906,2,4
2019,20,19/10/2019,Wolves,Southampton,0,78,77,80,77,76,76,77,75,56.2,1742.23803711,1660.67272949,3,4
2019,20,19/10/2019,Crystal Palace,Man City,-1,77,79,77,76,86,86,87,83,56.2,1753.17407227,2017.5826416,3,1
2019,20,20/10/2019,Man United,Liverpool,0,82,82,81,80,84,86,83,84,56.2,1814.12060547,2049.64672852,2,1
2019,20,21/10/2019,Sheffield United,Arsenal,1,73,73,72,73,81,86,82,80,56.2,1641.37866211,1884.89257812,4,2
2019,20,25/10/2019,Southampton,Leicester,-1,76,76,77,75,78,79,77,77,56.2,1673.70129395,1784.35632324,4,3
2019,20,26/10/2019,Man City,Aston Villa,1,86,86,87,83,75,76,75,73,56.2,2034.31018066,1649.1895752,1,4
