Mapping,Count
Pred Home Win → Actual Draw,43
Pred Home Win → Actual Away Win,45
Pred Draw → Actual Home Win,20
Pred Draw → Actual Away Win,19
Pred Away Win → Actual Home Win,38
Pred Away Win → Actual Draw,22
