Mapping,Count
Pred Home Win → Actual Draw,29
Pred Home Win → Actual Away Win,20
Pred Draw → Actual Home Win,26
Pred Draw → Actual Away Win,20
Pred Away Win → Actual Home Win,39
Pred Away Win → Actual Draw,36
