Mapping,Count
Pred Home Win → Actual Draw,38
Pred Home Win → Actual Away Win,42
Pred Draw → Actual Home Win,12
Pred Draw → Actual Away Win,13
Pred Away Win → Actual Home Win,30
Pred Away Win → Actual Draw,30
