Mapping,Count
Pred Home Win → Actual Draw,43
Pred Home Win → Actual Away Win,38
Pred Draw → Actual Home Win,5
Pred Draw → Actual Away Win,8
Pred Away Win → Actual Home Win,39
Pred Away Win → Actual Draw,27
